date,open,high,low,close,volume
2024-09-24,1181.550049,1269.459961,1161.550049,1269.060059,100412.81
2024-09-25,1296.51001,1323.459961,1293.170044,1295.459961,73953.8
2024-09-26,1296.420044,1426.329956,1292.459961,1425.459961,97278.06
2024-09-27,1496.459961,1525.660034,1461.819946,1525.660034,87921.67
2024-09-30,1588.459961,1656.339966,1548.459961,1644.459961,157293.41
2024-10-08,1806.459961,1806.459961,1576.640015,1619.459961,194709.48
2024-10-09,1596.459961,1596.459961,1486.459961,1491.609985,120196.84
2024-10-10,1518.719971,1564.540039,1487.459961,1536.459961,74603.42
2024-10-11,1511.859985,1536.420044,1486.459961,1501.449951,41914.71
2024-10-14,1509.459961,1517.089966,1477.630005,1498.449951,44812.02
2024-10-15,1495.459961,1497.449951,1449.469971,1450.709961,43571.43
2024-10-16,1437.339966,1446.26001,1406.459961,1418.959961,46664.4
2024-10-17,1433.459961,1434.119995,1389.869995,1391.060059,39459.55
2024-10-18,1389.459961,1464.300049,1375.420044,1437.459961,68619.3
2024-10-21,1437.670044,1446.430054,1417.670044,1425.26001,42007.9
2024-10-22,1423.02002,1456.640015,1420.660034,1439.459961,36269.13
2024-10-23,1440.569946,1473.410034,1428.459961,1463.959961,40088.46
2024-10-24,1457.459961,1471.459961,1441.469971,1448.660034,23922.8
2024-10-25,1443.459961,1471.25,1442.469971,1455.310059,27745.08
2024-10-28,1456.459961,1461.459961,1418.689941,1461.459961,39121.4
2024-10-29,1456.459961,1476.459961,1426.459961,1428.079956,41165.78
2024-10-30,1421.459961,1447.650024,1419.869995,1428.459961,32005.74
2024-10-31,1428.609985,1436.459961,1416.459961,1424.25,29957.35
2024-11-01,1417.459961,1441.589966,1417.26001,1430.209961,32283.92
2024-11-04,1441.390015,1446.459961,1424.52002,1444.660034,29092.92
2024-11-05,1436.459961,1474.160034,1432.469971,1473.449951,45640.47
2024-11-06,1471.459961,1485.449951,1457.680054,1467.459961,37631.43
2024-11-07,1458.920044,1549.959961,1458.76001,1545.599976,74738.72
2024-11-08,1557.349976,1563.569946,1497.469971,1506.430054,60771.2
2024-11-11,1486.459961,1506.410034,1463.650024,1494.469971,43853.65
2024-11-12,1485.459961,1519.459961,1470.410034,1473.660034,49222.66
2024-11-13,1464.459961,1483.119995,1457.73999,1474.959961,29125.26
2024-11-14,1466.459961,1490.910034,1462.109985,1470.26001,29248.14
2024-11-15,1465.459961,1480.26001,1449.459961,1455.459961,33761.12
2024-11-18,1458.459961,1472.449951,1451.459961,1455.459961,27092.19
2024-11-19,1461.459961,1465.829956,1421.459961,1438.380005,33266.43
2024-11-20,1439.459961,1450.430054,1427.76001,1441.27002,21344.55
2024-11-21,1440.329956,1445.449951,1428.459961,1441.589966,18261.79
2024-11-22,1437.609985,1444.22998,1404.280029,1404.280029,33436.11
2024-11-25,1407.459961,1428.459961,1393.130005,1395.030029,33185.56
2024-11-26,1395.030029,1415.339966,1385.339966,1405.459961,25744.79
2024-11-27,1405.459961,1418.609985,1401.459961,1415.51001,25934.17
2024-11-28,1418.459961,1421.449951,1398.459961,1414.459961,23952.03
2024-11-29,1413.459961,1451.459961,1409.670044,1422.199951,36088.1
2024-12-02,1422.459961,1426.449951,1411.560059,1421.459961,26819.54
2024-12-03,1420.459961,1425.359985,1412.540039,1423.199951,24806.62
2024-12-04,1416.530029,1420.119995,1406.459961,1416.459961,23923.89
2024-12-05,1407.319946,1414.319946,1406.459961,1407.459961,16141.47
2024-12-06,1409.459961,1435.359985,1404.530029,1417.469971,32039.69
2024-12-09,1418.47998,1426.180054,1409.660034,1415.26001,19799.86
2024-12-10,1466.459961,1476.189941,1441.640015,1443.050049,60312.1
2024-12-11,1436.459961,1451.459961,1427.439941,1432.060059,29671.12
2024-12-12,1428.47998,1462.459961,1425.459961,1462.26001,41936.52
2024-12-13,1446.469971,1451.449951,1415.339966,1415.459961,49511.97
2024-12-16,1417.459961,1425.459961,1407.170044,1423.660034,32537.1
2024-12-17,1422.449951,1465.459961,1417.469971,1454.459961,54171.63
2024-12-18,1454.430054,1473.459961,1443.560059,1467.959961,41162.26
2024-12-19,1461.599976,1464.390015,1446.790039,1447.469971,24809.32
2024-12-20,1451.47998,1462.150024,1440.369995,1442.349976,28157.74
2024-12-23,1443.349976,1458.349976,1437.349976,1446.800049,21602.69
2024-12-24,1445.349976,1464.349976,1441.939941,1459.170044,22104.92
2024-12-25,1459.150024,1459.150024,1446.449951,1450.349976,17123.39
2024-12-26,1454.349976,1459.130005,1443.349976,1448.140015,18286.51
2024-12-27,1449.25,1456.349976,1439.849976,1449.319946,20759.32
2024-12-30,1454.319946,1464.310059,1445.349976,1445.349976,25129.82
2024-12-31,1445.75,1465.349976,1442.359985,1444.349976,39354.45
2025-01-02,1444.349976,1444.839966,1400.349976,1408.349976,50028.7
2025-01-03,1414.849976,1415.339966,1387.359985,1395.349976,32628.36
2025-01-06,1373.349976,1383.01001,1353.150024,1360.349976,44255.12
2025-01-07,1365.01001,1372.23999,1359.349976,1360.550049,24221.18
2025-01-08,1360.349976,1372.170044,1347.01001,1362.849976,35258.21
2025-01-09,1369.339966,1384.930054,1353.329956,1364.349976,29705.65
2025-01-10,1367.449951,1372.300049,1356.349976,1356.349976,21871.95
2025-01-13,1345.349976,1364.790039,1342.359985,1364.329956,21082.51
2025-01-14,1365.300049,1399.030029,1362.349976,1392.849976,30956.57
2025-01-15,1387.349976,1394.949951,1380.359985,1391.619995,18399.34
2025-01-16,1394.349976,1403.01001,1362.349976,1366.72998,26342.13
2025-01-17,1366.73999,1381.349976,1366.72998,1375.099976,18308.94
2025-01-20,1381.349976,1410.140015,1380.349976,1395.150024,31409.75
2025-01-21,1401.349976,1402.349976,1385.349976,1388.5,16856.04
2025-01-22,1383.619995,1388.300049,1358.349976,1361.349976,28293.84
2025-01-23,1370.319946,1388.349976,1358.349976,1363.349976,27125.04
2025-01-24,1362.349976,1368.140015,1350.660034,1356.349976,31360.34
2025-01-27,1357.349976,1364.319946,1347.369995,1355.339966,29356.46
2025-02-05,1360.349976,1363.349976,1322.560059,1324.150024,40756.52
2025-02-06,1320.359985,1342.339966,1320.359985,1333.189941,27355.82
2025-02-07,1334.030029,1363.030029,1323.76001,1356.349976,37242.07
